slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
single-arm-linear-jammer,Single-Arm Linear Jammer,strength,intermediate,push,compound,barbell,shoulders,chest; triceps,90,free-exercise-db
single-arm-push-up,Single-Arm Push-Up,strength,intermediate,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
single-dumbbell-raise,Single Dumbbell Raise,strength,beginner,,isolation,dumbbell,shoulders,forearms; traps,90,free-exercise-db
single-leg-glute-bridge,Single Leg Glute Bridge,strength,beginner,push,isolation,body only,glutes,hamstrings,90,free-exercise-db
single-leg-high-box-squat,Single-Leg High Box Squat,strength,beginner,push,compound,other,quadriceps,glutes; hamstrings,90,free-exercise-db
single-leg-leg-extension,Single-Leg Leg Extension,strength,beginner,push,isolation,machine,quadriceps,,90,free-exercise-db
sit-up,Sit-Up,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
sled-overhead-backward-walk,Sled Overhead Backward Walk,strength,beginner,pull,compound,other,shoulders,calves; middle back; quadriceps,90,free-exercise-db
sled-overhead-triceps-extension,Sled Overhead Triceps Extension,strength,beginner,push,isolation,other,triceps,,90,free-exercise-db
sled-reverse-flye,Sled Reverse Flye,strength,beginner,pull,isolation,other,shoulders,,90,free-exercise-db
sled-row,Sled Row,strength,beginner,pull,compound,other,middle back,biceps; lats,90,free-exercise-db
smith-incline-shoulder-raise,Smith Incline Shoulder Raise,strength,beginner,push,isolation,barbell,shoulders,chest,90,free-exercise-db
smith-machine-behind-the-back-shrug,Smith Machine Behind the Back Shrug,strength,beginner,pull,isolation,machine,traps,shoulders,90,free-exercise-db
smith-machine-bench-press,Smith Machine Bench Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
smith-machine-bent-over-row,Smith Machine Bent Over Row,strength,beginner,pull,compound,machine,middle back,biceps; lats; shoulders,90,free-exercise-db
smith-machine-calf-raise,Smith Machine Calf Raise,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
smith-machine-close-grip-bench-press,Smith Machine Close-Grip Bench Press,strength,beginner,push,compound,machine,triceps,chest; shoulders,90,free-exercise-db
smith-machine-decline-press,Smith Machine Decline Press,strength,beginner,,compound,machine,chest,shoulders; triceps,90,free-exercise-db
smith-machine-hang-power-clean,Smith Machine Hang Power Clean,strength,intermediate,pull,compound,machine,hamstrings,glutes; lower back; quadriceps; shoulders; traps,90,free-exercise-db
smith-machine-hip-raise,Smith Machine Hip Raise,strength,beginner,pull,isolation,machine,abdominals,,90,free-exercise-db
smith-machine-incline-bench-press,Smith Machine Incline Bench Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
smith-machine-leg-press,Smith Machine Leg Press,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
smith-machine-one-arm-upright-row,Smith Machine One-Arm Upright Row,strength,beginner,pull,compound,machine,shoulders,biceps; traps,90,free-exercise-db
smith-machine-overhead-shoulder-press,Smith Machine Overhead Shoulder Press,strength,beginner,push,compound,machine,shoulders,triceps,90,free-exercise-db
smith-machine-pistol-squat,Smith Machine Pistol Squat,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
smith-machine-reverse-calf-raises,Smith Machine Reverse Calf Raises,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
smith-machine-squat,Smith Machine Squat,strength,beginner,push,compound,machine,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
smith-machine-stiff-legged-deadlift,Smith Machine Stiff-Legged Deadlift,strength,beginner,pull,compound,machine,hamstrings,glutes; lower back,90,free-exercise-db
smith-machine-upright-row,Smith Machine Upright Row,strength,beginner,pull,compound,machine,traps,biceps; middle back; shoulders,90,free-exercise-db
smith-single-leg-split-squat,Smith Single-Leg Split Squat,strength,beginner,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
snatch-pull,Snatch Pull,strength,intermediate,pull,compound,barbell,hamstrings,calves; glutes; lower back; quadriceps; traps,90,free-exercise-db
speed-band-overhead-triceps,Speed Band Overhead Triceps,strength,beginner,push,isolation,bands,triceps,,90,free-exercise-db
speed-squats,Speed Squats,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
spell-caster,Spell Caster,strength,beginner,pull,compound,dumbbell,abdominals,glutes; shoulders,90,free-exercise-db
spider-crawl,Spider Crawl,strength,beginner,pull,compound,body only,abdominals,chest; shoulders; triceps,90,free-exercise-db
spider-curl,Spider Curl,strength,beginner,pull,isolation,e-z curl bar,biceps,,90,free-exercise-db
split-squat-with-dumbbells,Split Squat with Dumbbells,strength,beginner,push,compound,dumbbell,quadriceps,glutes; hamstrings,90,free-exercise-db
squat-jerk,Squat Jerk,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings; shoulders; triceps,90,free-exercise-db
squat-with-plate-movers,Squat with Plate Movers,strength,intermediate,push,compound,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings,90,free-exercise-db
squats-with-bands,Squats - With Bands,strength,beginner,push,compound,bands,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
standing-alternating-dumbbell-press,Standing Alternating Dumbbell Press,strength,beginner,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
standing-barbell-calf-raise,Standing Barbell Calf Raise,strength,beginner,push,isolation,barbell,calves,,90,free-exercise-db
standing-barbell-press-behind-neck,Standing Barbell Press Behind Neck,strength,intermediate,push,compound,barbell,shoulders,triceps,90,free-exercise-db
standing-bent-over-one-arm-dumbbell-triceps-extension,Standing Bent-Over One-Arm Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,shoulders,90,free-exercise-db
standing-bent-over-two-arm-dumbbell-triceps-extension,Standing Bent-Over Two-Arm Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
standing-biceps-cable-curl,Standing Biceps Cable Curl,strength,beginner,pull,isolation,cable,biceps,,90,free-exercise-db
standing-bradford-press,Standing Bradford Press,strength,beginner,push,compound,barbell,shoulders,triceps,90,free-exercise-db
standing-cable-chest-press,Standing Cable Chest Press,strength,beginner,push,compound,cable,chest,shoulders; triceps,90,free-exercise-db
standing-cable-lift,Standing Cable Lift,strength,beginner,pull,compound,cable,abdominals,shoulders,90,free-exercise-db
standing-cable-wood-chop,Standing Cable Wood Chop,strength,beginner,pull,compound,cable,abdominals,shoulders,90,free-exercise-db
standing-calf-raises,Standing Calf Raises,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
standing-concentration-curl,Standing Concentration Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
standing-dumbbell-calf-raise,Standing Dumbbell Calf Raise,strength,intermediate,push,isolation,dumbbell,calves,,90,free-exercise-db
standing-dumbbell-press,Standing Dumbbell Press,strength,beginner,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
standing-dumbbell-reverse-curl,Standing Dumbbell Reverse Curl,strength,intermediate,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
standing-dumbbell-straight-arm-front-delt-raise-above-head,Standing Dumbbell Straight-Arm Front Delt Raise Above Head,strength,intermediate,push,isolation,dumbbell,shoulders,,90,free-exercise-db
standing-dumbbell-triceps-extension,Standing Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
standing-dumbbell-upright-row,Standing Dumbbell Upright Row,strength,beginner,pull,compound,dumbbell,traps,biceps; shoulders,90,free-exercise-db
standing-front-barbell-raise-over-head,Standing Front Barbell Raise Over Head,strength,intermediate,push,isolation,barbell,shoulders,,90,free-exercise-db
standing-inner-biceps-curl,Standing Inner-Biceps Curl,strength,intermediate,pull,isolation,dumbbell,biceps,,90,free-exercise-db
standing-leg-curl,Standing Leg Curl,strength,beginner,pull,isolation,machine,hamstrings,,90,free-exercise-db
standing-low-pulley-deltoid-raise,Standing Low-Pulley Deltoid Raise,strength,beginner,push,isolation,cable,shoulders,forearms,90,free-exercise-db
standing-low-pulley-one-arm-triceps-extension,Standing Low-Pulley One-Arm Triceps Extension,strength,intermediate,push,isolation,cable,triceps,chest; shoulders,90,free-exercise-db
standing-military-press,Standing Military Press,strength,beginner,push,compound,barbell,shoulders,triceps,90,free-exercise-db
standing-olympic-plate-hand-squeeze,Standing Olympic Plate Hand Squeeze,strength,beginner,static,isolation,other,forearms,biceps,90,free-exercise-db
standing-one-arm-cable-curl,Standing One-Arm Cable Curl,strength,intermediate,pull,isolation,cable,biceps,,90,free-exercise-db
standing-one-arm-dumbbell-curl-over-incline-bench,Standing One-Arm Dumbbell Curl Over Incline Bench,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
standing-one-arm-dumbbell-triceps-extension,Standing One-Arm Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,chest; shoulders,90,free-exercise-db
standing-overhead-barbell-triceps-extension,Standing Overhead Barbell Triceps Extension,strength,beginner,push,isolation,barbell,triceps,shoulders,90,free-exercise-db
standing-palm-in-one-arm-dumbbell-press,Standing Palm-In One-Arm Dumbbell Press,strength,beginner,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
standing-palms-in-dumbbell-press,Standing Palms-In Dumbbell Press,strength,intermediate,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
standing-palms-up-barbell-behind-the-back-wrist-curl,Standing Palms-Up Barbell Behind The Back Wrist Curl,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
standing-rope-crunch,Standing Rope Crunch,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
standing-towel-triceps-extension,Standing Towel Triceps Extension,strength,beginner,push,isolation,body only,triceps,,90,free-exercise-db
step-up-with-knee-raise,Step-up with Knee Raise,strength,beginner,push,compound,body only,glutes,hamstrings; quadriceps,90,free-exercise-db
stiff-leg-barbell-good-morning,Stiff Leg Barbell Good Morning,strength,beginner,push,compound,barbell,lower back,glutes; hamstrings,90,free-exercise-db
stiff-legged-barbell-deadlift,Stiff-Legged Barbell Deadlift,strength,intermediate,pull,compound,barbell,hamstrings,glutes; lower back,90,free-exercise-db
stiff-legged-dumbbell-deadlift,Stiff-Legged Dumbbell Deadlift,strength,beginner,pull,compound,dumbbell,hamstrings,glutes; lower back,90,free-exercise-db
straight-arm-dumbbell-pullover,Straight-Arm Dumbbell Pullover,strength,intermediate,pull,compound,dumbbell,chest,lats; shoulders; triceps,90,free-exercise-db
straight-arm-pulldown,Straight-Arm Pulldown,strength,beginner,pull,isolation,cable,lats,,90,free-exercise-db
straight-bar-bench-mid-rows,Straight Bar Bench Mid Rows,strength,beginner,pull,compound,barbell,middle back,biceps; lats,90,free-exercise-db
straight-raises-on-incline-bench,Straight Raises on Incline Bench,strength,beginner,push,isolation,barbell,shoulders,traps,90,free-exercise-db
suitcase-carry,Suitcase Carry,strength,beginner,static,compound,dumbbell,abdominals; forearms,traps; shoulders; glutes,60,original
suspended-fallout,Suspended Fallout,strength,intermediate,pull,isolation,other,abdominals,chest; lower back; shoulders,90,free-exercise-db
suspended-push-up,Suspended Push-Up,strength,beginner,push,compound,other,chest,shoulders; triceps,90,free-exercise-db
suspended-reverse-crunch,Suspended Reverse Crunch,strength,beginner,pull,isolation,other,abdominals,,90,free-exercise-db
suspended-row,Suspended Row,strength,beginner,pull,compound,other,middle back,biceps; lats,90,free-exercise-db
suspended-split-squat,Suspended Split Squat,strength,intermediate,push,compound,other,quadriceps,abductors; adductors; calves; glutes; hamstrings,90,free-exercise-db
svend-press,Svend Press,strength,beginner,push,compound,other,chest,forearms; shoulders; triceps,90,free-exercise-db
t-bar-row-with-handle,T-Bar Row with Handle,strength,beginner,pull,compound,barbell,middle back,biceps; lats,90,free-exercise-db
tate-press,Tate Press,strength,intermediate,push,isolation,dumbbell,triceps,chest; shoulders,90,free-exercise-db
thigh-abductor,Thigh Abductor,strength,beginner,push,isolation,machine,abductors,glutes,90,free-exercise-db
thigh-adductor,Thigh Adductor,strength,beginner,pull,isolation,machine,adductors,glutes; hamstrings,90,free-exercise-db
trap-bar-deadlift,Trap Bar Deadlift,strength,beginner,pull,compound,other,quadriceps,glutes; hamstrings,90,free-exercise-db
tricep-dumbbell-kickback,Tricep Dumbbell Kickback,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
triceps-overhead-extension-with-rope,Triceps Overhead Extension with Rope,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
triceps-pushdown,Triceps Pushdown,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
triceps-pushdown-rope-attachment,Triceps Pushdown - Rope Attachment,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
triceps-pushdown-v-bar-attachment,Triceps Pushdown - V-Bar Attachment,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
tuck-crunch,Tuck Crunch,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
two-arm-dumbbell-preacher-curl,Two-Arm Dumbbell Preacher Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
two-arm-kettlebell-clean,Two-Arm Kettlebell Clean,strength,intermediate,pull,compound,kettlebells,shoulders,calves; glutes; hamstrings; lower back; traps,90,free-exercise-db
two-arm-kettlebell-jerk,Two-Arm Kettlebell Jerk,strength,intermediate,push,compound,kettlebells,shoulders,calves; quadriceps; triceps,90,free-exercise-db
two-arm-kettlebell-military-press,Two-Arm Kettlebell Military Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
two-arm-kettlebell-row,Two-Arm Kettlebell Row,strength,intermediate,pull,compound,kettlebells,middle back,biceps; lats,90,free-exercise-db
two-hand-kettlebell-swing,Two-Hand Kettlebell Swing,strength,intermediate,pull,compound,kettlebells,glutes; hamstrings,lower back; abdominals; shoulders; forearms,60,original
underhand-cable-pulldowns,Underhand Cable Pulldowns,strength,beginner,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
upright-barbell-row,Upright Barbell Row,strength,beginner,pull,compound,barbell,shoulders,traps,90,free-exercise-db
upright-cable-row,Upright Cable Row,strength,intermediate,pull,compound,cable,traps,shoulders,90,free-exercise-db
upright-row-with-bands,Upright Row - With Bands,strength,beginner,pull,compound,bands,traps,shoulders,90,free-exercise-db
v-bar-pulldown,V-Bar Pulldown,strength,intermediate,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
v-bar-pullup,V-Bar Pullup,strength,beginner,pull,compound,body only,lats,biceps; middle back; shoulders,90,free-exercise-db
v-up,V-Up,strength,intermediate,pull,compound,body only,abdominals,quadriceps,45,original
wall-sit,Wall Sit,strength,beginner,static,isolation,body only,quadriceps,glutes; calves; abdominals,60,original
weighted-ball-hyperextension,Weighted Ball Hyperextension,strength,intermediate,pull,compound,exercise ball,lower back,glutes; hamstrings; middle back,90,free-exercise-db
weighted-ball-side-bend,Weighted Ball Side Bend,strength,intermediate,pull,isolation,exercise ball,abdominals,,90,free-exercise-db
weighted-bench-dip,Weighted Bench Dip,strength,intermediate,push,compound,other,triceps,chest; shoulders,90,free-exercise-db
weighted-crunches,Weighted Crunches,strength,beginner,pull,isolation,medicine ball,abdominals,,90,free-exercise-db
weighted-jump-squat,Weighted Jump Squat,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
weighted-pull-ups,Weighted Pull Ups,strength,intermediate,pull,compound,other,lats,biceps; middle back,90,free-exercise-db
weighted-sissy-squat,Weighted Sissy Squat,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
weighted-sit-ups-with-bands,Weighted Sit-Ups - With Bands,strength,intermediate,pull,isolation,other,abdominals,,90,free-exercise-db
weighted-squat,Weighted Squat,strength,intermediate,push,compound,other,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
wide-grip-barbell-bench-press,Wide-Grip Barbell Bench Press,strength,intermediate,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
wide-grip-decline-barbell-bench-press,Wide-Grip Decline Barbell Bench Press,strength,intermediate,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
wide-grip-decline-barbell-pullover,Wide-Grip Decline Barbell Pullover,strength,intermediate,pull,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
wide-grip-lat-pulldown,Wide-Grip Lat Pulldown,strength,beginner,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
wide-grip-pulldown-behind-the-neck,Wide-Grip Pulldown Behind The Neck,strength,intermediate,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
wide-grip-rear-pull-up,Wide-Grip Rear Pull-Up,strength,intermediate,pull,compound,body only,lats,biceps; middle back; shoulders,90,free-exercise-db
wide-grip-standing-barbell-curl,Wide-Grip Standing Barbell Curl,strength,beginner,pull,isolation,barbell,biceps,,90,free-exercise-db
wide-stance-barbell-squat,Wide Stance Barbell Squat,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
wind-sprints,Wind Sprints,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
wrist-roller,Wrist Roller,strength,beginner,pull,isolation,other,forearms,shoulders,90,free-exercise-db
wrist-rotations-with-straight-bar,Wrist Rotations with Straight Bar,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
zercher-squats,Zercher Squats,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
zottman-curl,Zottman Curl,strength,intermediate,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
zottman-preacher-curl,Zottman Preacher Curl,strength,intermediate,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
90-90-hamstring,90/90 Hamstring,stretching,beginner,push,,body only,hamstrings,calves,15,free-exercise-db
adductor,Adductor,stretching,intermediate,static,isolation,foam roll,adductors,,15,free-exercise-db
adductor-groin,Adductor/Groin,stretching,intermediate,static,,,adductors,,15,free-exercise-db
all-fours-quad-stretch,All Fours Quad Stretch,stretching,intermediate,static,,body only,quadriceps,quadriceps,15,free-exercise-db
ankle-circles,Ankle Circles,stretching,beginner,pull,isolation,,calves,,15,free-exercise-db
ankle-on-the-knee,Ankle On The Knee,stretching,beginner,static,,,glutes,,15,free-exercise-db
anterior-tibialis-smr,Anterior Tibialis-SMR,stretching,intermediate,static,,other,calves,,15,free-exercise-db
arm-circles,Arm Circles,stretching,beginner,push,isolation,,shoulders,traps,15,free-exercise-db
behind-head-chest-stretch,Behind Head Chest Stretch,stretching,expert,static,isolation,other,chest,shoulders,15,free-exercise-db
brachialis-smr,Brachialis-SMR,stretching,intermediate,static,,foam roll,biceps,,15,free-exercise-db
butterfly-stretch,Butterfly Stretch,stretching,beginner,static,isolation,body only,adductors,glutes; lower back,10,original
calf-stretch-elbows-against-wall,Calf Stretch Elbows Against Wall,stretching,beginner,static,isolation,,calves,,15,free-exercise-db
calf-stretch-hands-against-wall,Calf Stretch Hands Against Wall,stretching,beginner,static,isolation,,calves,,15,free-exercise-db
calves-smr,Calves-SMR,stretching,intermediate,static,,foam roll,calves,,15,free-exercise-db
cat-stretch,Cat Stretch,stretching,beginner,static,,,lower back,middle back; traps,15,free-exercise-db
chair-leg-extended-stretch,Chair Leg Extended Stretch,stretching,beginner,static,isolation,other,hamstrings,adductors,15,free-exercise-db
chair-lower-back-stretch,Chair Lower Back Stretch,stretching,beginner,static,isolation,,lats,lower back,15,free-exercise-db
chair-upper-body-stretch,Chair Upper Body Stretch,stretching,beginner,static,,other,shoulders,biceps; chest,15,free-exercise-db
chest-and-front-of-shoulder-stretch,Chest And Front Of Shoulder Stretch,stretching,beginner,static,isolation,other,chest,shoulders,15,free-exercise-db
chest-stretch-on-stability-ball,Chest Stretch on Stability Ball,stretching,beginner,static,isolation,exercise ball,chest,,15,free-exercise-db
child-s-pose,Child's Pose,stretching,beginner,static,,,lower back,glutes; middle back,15,free-exercise-db
chin-to-chest-stretch,Chin To Chest Stretch,stretching,beginner,static,,,neck,traps,15,free-exercise-db
crossover-reverse-lunge,Crossover Reverse Lunge,stretching,intermediate,pull,,,lower back,abdominals; abductors; glutes; hamstrings; quadriceps,15,free-exercise-db
dancer-s-stretch,Dancer's Stretch,stretching,beginner,static,,,lower back,abductors; glutes,15,free-exercise-db
dynamic-back-stretch,Dynamic Back Stretch,stretching,beginner,pull,,,lats,,15,free-exercise-db
dynamic-chest-stretch,Dynamic Chest Stretch,stretching,beginner,pull,,,chest,middle back,15,free-exercise-db
elbow-circles,Elbow Circles,stretching,beginner,pull,isolation,,shoulders,traps,15,free-exercise-db
elbows-back,Elbows Back,stretching,beginner,static,isolation,,chest,shoulders,15,free-exercise-db
foot-smr,Foot-SMR,stretching,intermediate,static,,other,calves,,15,free-exercise-db
frog-hops,Frog Hops,stretching,intermediate,push,compound,,quadriceps,calves; glutes; hamstrings,15,free-exercise-db
frog-stretch,Frog Stretch,stretching,intermediate,static,isolation,body only,adductors,glutes,15,original
front-leg-raises,Front Leg Raises,stretching,beginner,pull,,body only,hamstrings,,15,free-exercise-db
groin-and-back-stretch,Groin and Back Stretch,stretching,intermediate,static,compound,,adductors,,15,free-exercise-db
groiners,Groiners,stretching,intermediate,pull,compound,body only,adductors,,15,free-exercise-db
hamstring-smr,Hamstring-SMR,stretching,beginner,static,isolation,foam roll,hamstrings,,15,free-exercise-db
hamstring-stretch,Hamstring Stretch,stretching,beginner,static,isolation,,hamstrings,,15,free-exercise-db
hip-circles-prone,Hip Circles (prone),stretching,beginner,pull,isolation,body only,abductors,adductors,15,free-exercise-db
hug-a-ball,Hug A Ball,stretching,beginner,static,isolation,exercise ball,lower back,calves; glutes,15,free-exercise-db
hug-knees-to-chest,Hug Knees To Chest,stretching,beginner,static,,,lower back,glutes,15,free-exercise-db
iliotibial-tract-smr,Iliotibial Tract-SMR,stretching,intermediate,static,isolation,foam roll,abductors,,15,free-exercise-db
inchworm,Inchworm,stretching,beginner,,compound,body only,hamstrings,,15,free-exercise-db
intermediate-groin-stretch,Intermediate Groin Stretch,stretching,intermediate,static,isolation,other,hamstrings,,15,free-exercise-db
intermediate-hip-flexor-and-quad-stretch,Intermediate Hip Flexor and Quad Stretch,stretching,intermediate,static,compound,other,quadriceps,,15,free-exercise-db
iron-crosses-stretch,Iron Crosses (stretch),stretching,intermediate,pull,compound,,quadriceps,,15,free-exercise-db
it-band-and-glute-stretch,IT Band and Glute Stretch,stretching,intermediate,static,,other,abductors,,15,free-exercise-db
knee-across-the-body,Knee Across The Body,stretching,beginner,static,,,glutes,abductors; lower back,15,free-exercise-db
knee-circles,Knee Circles,stretching,beginner,pull,compound,body only,calves,hamstrings; quadriceps,15,free-exercise-db
kneeling-forearm-stretch,Kneeling Forearm Stretch,stretching,beginner,static,isolation,,forearms,,15,free-exercise-db
kneeling-hip-flexor,Kneeling Hip Flexor,stretching,beginner,static,isolation,,quadriceps,quadriceps,15,free-exercise-db
latissimus-dorsi-smr,Latissimus Dorsi-SMR,stretching,beginner,static,isolation,foam roll,lats,,15,free-exercise-db
leg-up-hamstring-stretch,Leg-Up Hamstring Stretch,stretching,beginner,push,isolation,,hamstrings,,15,free-exercise-db
looking-at-ceiling,Looking At Ceiling,stretching,beginner,static,isolation,,quadriceps,,15,free-exercise-db
lower-back-curl,Lower Back Curl,stretching,beginner,static,,body only,abdominals,,15,free-exercise-db
lower-back-smr,Lower Back-SMR,stretching,beginner,static,,foam roll,lower back,,15,free-exercise-db
lying-bent-leg-groin,Lying Bent Leg Groin,stretching,expert,static,,other,adductors,,15,free-exercise-db
lying-crossover,Lying Crossover,stretching,expert,static,,body only,abductors,,15,free-exercise-db
lying-glute,Lying Glute,stretching,expert,static,,body only,glutes,abductors,15,free-exercise-db
lying-hamstring,Lying Hamstring,stretching,expert,static,,other,hamstrings,calves,15,free-exercise-db
lying-prone-quadriceps,Lying Prone Quadriceps,stretching,expert,,,body only,quadriceps,,15,free-exercise-db
middle-back-stretch,Middle Back Stretch,stretching,beginner,static,isolation,,middle back,abdominals; lats; lower back,15,free-exercise-db
neck-smr,Neck-SMR,stretching,intermediate,static,,other,neck,,15,free-exercise-db
on-your-back-quad-stretch,On-Your-Back Quad Stretch,stretching,beginner,static,isolation,other,quadriceps,,15,free-exercise-db
on-your-side-quad-stretch,On Your Side Quad Stretch,stretching,beginner,static,isolation,,quadriceps,,15,free-exercise-db
one-arm-against-wall,One Arm Against Wall,stretching,beginner,static,isolation,,lats,,15,free-exercise-db
one-half-locust,One Half Locust,stretching,beginner,static,,,quadriceps,abdominals; biceps; chest,15,free-exercise-db
one-handed-hang,One Handed Hang,stretching,beginner,static,,other,lats,biceps,15,free-exercise-db
one-knee-to-chest,One Knee To Chest,stretching,beginner,static,compound,,glutes,hamstrings; lower back,15,free-exercise-db
overhead-lat,Overhead Lat,stretching,expert,static,,other,lats,triceps,15,free-exercise-db
overhead-stretch,Overhead Stretch,stretching,beginner,static,compound,,abdominals,chest; forearms; lats; triceps,15,free-exercise-db
overhead-triceps,Overhead Triceps,stretching,expert,static,,body only,triceps,lats,15,free-exercise-db
pelvic-tilt-into-bridge,Pelvic Tilt Into Bridge,stretching,intermediate,static,compound,,lower back,,15,free-exercise-db
peroneals-smr,Peroneals-SMR,stretching,intermediate,static,,foam roll,calves,,15,free-exercise-db
peroneals-stretch,Peroneals Stretch,stretching,intermediate,static,,other,calves,,15,free-exercise-db
piriformis-smr,Piriformis-SMR,stretching,intermediate,static,isolation,foam roll,glutes,,15,free-exercise-db
posterior-tibialis-stretch,Posterior Tibialis Stretch,stretching,intermediate,static,,other,calves,,15,free-exercise-db
pyramid,Pyramid,stretching,beginner,static,,exercise ball,lower back,shoulders,15,free-exercise-db
quad-stretch,Quad Stretch,stretching,intermediate,static,,other,quadriceps,,15,free-exercise-db
quadriceps-smr,Quadriceps-SMR,stretching,intermediate,static,isolation,foam roll,quadriceps,,15,free-exercise-db
rear-leg-raises,Rear Leg Raises,stretching,beginner,push,,body only,quadriceps,,15,free-exercise-db
rhomboids-smr,Rhomboids-SMR,stretching,intermediate,static,,foam roll,middle back,traps,15,free-exercise-db
round-the-world-shoulder-stretch,Round The World Shoulder Stretch,stretching,beginner,static,,other,shoulders,biceps; chest,15,free-exercise-db
runner-s-stretch,Runner's Stretch,stretching,beginner,static,,,hamstrings,calves,15,free-exercise-db
scissor-kick,Scissor Kick,stretching,beginner,pull,isolation,body only,abdominals,,15,free-exercise-db
scorpion-stretch,Scorpion Stretch,stretching,intermediate,static,compound,body only,chest; abdominals,lower back; shoulders; glutes,10,original
seated-biceps,Seated Biceps,stretching,expert,static,isolation,body only,biceps,chest; shoulders,15,free-exercise-db
seated-calf-stretch,Seated Calf Stretch,stretching,beginner,static,,,calves,hamstrings; lower back,15,free-exercise-db
seated-floor-hamstring-stretch,Seated Floor Hamstring Stretch,stretching,beginner,static,,,hamstrings,calves,15,free-exercise-db
seated-front-deltoid,Seated Front Deltoid,stretching,expert,static,,body only,shoulders,chest,15,free-exercise-db
seated-glute,Seated Glute,stretching,expert,static,,body only,glutes,adductors,15,free-exercise-db
seated-hamstring,Seated Hamstring,stretching,expert,static,,,hamstrings,calves,15,free-exercise-db
seated-hamstring-and-calf-stretch,Seated Hamstring and Calf Stretch,stretching,intermediate,static,,other,hamstrings,calves,15,free-exercise-db
seated-overhead-stretch,Seated Overhead Stretch,stretching,beginner,static,isolation,,abdominals,,15,free-exercise-db
shoulder-circles,Shoulder Circles,stretching,beginner,pull,,,shoulders,traps,15,free-exercise-db
shoulder-raise,Shoulder Raise,stretching,beginner,pull,,,shoulders,lats,15,free-exercise-db
shoulder-stretch,Shoulder Stretch,stretching,beginner,pull,,,shoulders,,15,free-exercise-db
